Student_ID,Age,10th_Percentage,12th_Percentage,12th_Stream,Degree,CGPA,Programming,Communication,Leadership,Creativity,Problem_Solving,Technology_Interest,Medical_Interest,Finance_Interest,Government_Interest,Business_Interest,Teaching_Interest,Law_Interest,Physical_Fitness,Personality,Hobby,Career
1,21,82,82,Arts,BA,8.26,5,5,5,3,4,3,5,4,5,5,4,4,3,Analytical,Writing,Entrepreneur
2,22,57,93,Arts,BA,6.86,4,3,5,3,5,3,2,2,4,5,2,2,2,Helping,Sports,Entrepreneur
3,20,86,78,Science_PCM,BSc Data Science,6.61,2,2,4,4,5,5,2,3,5,2,4,5,3,Leadership,Reading,Research Scientist
4,18,71,82,Commerce,CA,8.48,2,4,3,4,4,3,4,5,4,2,4,2,5,Creative,Writing,Accountant
5,21,94,56,Science_PCM,BSc Data Science,7.72,5,4,3,3,5,5,2,5,3,2,2,5,5,Leadership,Public Speaking,Data Scientist
6,20,94,84,Science_PCM,BCA,7.39,5,2,3,2,4,5,2,5,3,5,4,2,2,Research,Music,Data Scientist
7,19,97,93,Science_PCM,BDes,9.24,3,3,3,5,2,4,5,2,5,5,4,2,2,Creative,Writing,Designer
8,23,96,96,Science_PCB,BSc,6.55,5,5,5,4,5,2,5,5,3,3,5,4,2,Leadership,Public Speaking,Research Scientist
9,24,51,88,Commerce,BBA,9.0,4,3,5,2,5,2,4,2,4,5,3,5,3,Leadership,Music,Marketing Manager
10,19,91,88,Science_PCM,BTech,8.58,5,5,4,4,5,4,5,4,3,3,4,2,5,Analytical,Public Speaking,Civil Engineer
11,22,82,65,Science_PCB,BHMS,8.89,5,5,5,4,2,3,5,2,3,5,2,2,2,Leadership,Coding,Doctor
12,19,97,95,Arts,BEd,9.06,4,5,3,4,3,2,5,5,3,5,5,4,2,Leadership,Sports,Teacher
13,22,74,84,Arts,LLB,7.26,4,5,4,2,2,2,2,3,3,4,5,5,4,Creative,Sports,Lawyer
14,21,86,69,Science_PCM,BCA,9.11,5,5,5,4,4,5,5,3,5,3,2,4,2,Research,Sports,AI Engineer
15,18,58,84,Science_PCM,BFA,7.02,5,5,2,5,5,2,2,3,3,3,3,2,4,Leadership,Writing,Designer
16,21,50,56,Arts,LLB,8.94,5,5,4,5,5,3,2,5,4,2,2,5,3,Analytical,Sports,Lawyer
17,24,99,85,Science_PCM,BCA,6.42,5,2,2,5,5,5,2,5,2,4,4,4,3,Helping,Writing,AI Engineer
18,20,87,97,Science_PCB,MBBS,6.67,5,5,5,3,5,5,5,3,4,4,4,3,3,Leadership,Public Speaking,Doctor
19,18,81,91,Commerce,BA,9.64,5,5,5,5,4,2,5,2,2,5,5,2,4,Research,Social Work,Entrepreneur
20,17,83,98,Commerce,BCom,9.93,4,2,3,4,5,5,5,5,2,4,5,5,2,Helping,Sports,Accountant
21,25,72,75,Science_PCM,BTech,7.77,5,4,5,5,5,5,2,4,4,5,3,5,4,Leadership,Coding,Software Developer
22,24,58,50,Commerce,BCom,8.56,4,3,5,5,4,4,3,5,2,5,2,4,3,Creative,Reading,Accountant
23,19,90,86,Commerce,BBA,7.15,2,4,5,5,2,2,4,3,3,5,4,4,3,Leadership,Drawing,Entrepreneur
24,18,80,71,Arts,LLB,8.51,3,5,4,5,5,2,2,5,2,5,2,5,3,Leadership,Social Work,Lawyer
25,23,99,67,Science_PCB,BAMS,8.4,4,5,4,2,5,5,5,4,2,3,4,3,5,Analytical,Drawing,Doctor
26,18,99,68,Arts,BA,8.18,2,5,5,2,4,4,5,4,5,3,5,2,2,Creative,Social Work,Teacher
27,21,88,65,Arts,BA Economics,8.66,3,5,5,4,5,4,5,3,5,5,2,4,5,Creative,Public Speaking,Government Officer
28,24,64,87,Science_PCM,BTech,6.01,3,5,3,2,2,2,3,2,3,4,5,2,5,Analytical,Public Speaking,Civil Engineer
29,19,89,63,Arts,BA Economics,8.74,2,4,5,3,5,3,3,3,5,2,5,5,5,Analytical,Music,Government Officer
30,20,86,60,Science_PCM,BCA,9.64,5,3,2,3,4,5,5,3,3,5,2,5,4,Leadership,Music,AI Engineer
31,22,63,68,Commerce,BBA,6.46,5,3,5,3,3,5,4,2,2,5,2,3,2,Helping,Social Work,Marketing Manager
32,21,65,61,Arts,BEd,6.78,2,5,5,4,5,3,2,4,5,3,5,5,2,Creative,Reading,Teacher
33,23,75,81,Science_PCM,BTech,7.55,3,5,2,3,2,2,5,3,3,3,3,5,2,Analytical,Sports,Civil Engineer
34,17,56,78,Science_PCM,BCA,8.83,5,2,3,2,5,5,3,2,5,5,5,2,4,Creative,Drawing,Data Scientist
35,23,58,82,Science_PCM,BCA,6.08,5,5,3,3,4,5,5,4,5,2,2,2,2,Analytical,Drawing,Data Scientist
36,21,84,57,Science_PCM,BTech,7.8,2,3,4,4,2,4,5,3,5,4,3,3,5,Helping,Drawing,Defence Officer
37,19,89,51,Commerce,BBA,7.58,4,4,5,3,5,3,4,5,2,4,3,3,2,Research,Music,Bank Manager
38,22,70,50,Arts,BFA,8.57,4,5,3,5,3,4,4,5,5,2,2,2,2,Creative,Music,Designer
39,18,69,61,Commerce,BCom,7.47,4,4,4,4,4,5,5,5,3,4,3,3,3,Helping,Drawing,Financial Analyst
40,22,76,85,Arts,BA,9.75,2,4,4,4,4,5,4,3,5,4,2,3,3,Research,Writing,Government Officer
41,22,68,57,Arts,LLB,6.82,2,5,4,4,3,3,5,3,2,2,5,5,3,Analytical,Coding,Lawyer
42,18,62,91,Science_PCM,BTech,6.41,5,5,2,4,4,5,5,5,4,2,2,3,4,Analytical,Drawing,AI Engineer
43,19,59,74,Science_PCB,BSc Nursing,7.38,5,4,5,4,3,5,5,2,2,3,2,4,5,Research,Social Work,Nurse
44,17,58,81,Science_PCM,BCA,6.66,5,2,2,2,5,5,5,5,5,4,4,4,3,Analytical,Social Work,Software Developer
45,24,50,67,Science_PCM,BTech,6.54,5,2,5,4,5,5,3,3,3,4,5,3,5,Leadership,Music,AI Engineer
46,24,50,91,Science_PCM,BSc Data Science,9.4,3,4,2,4,5,2,4,5,2,2,4,2,5,Analytical,Reading,Research Scientist
47,17,59,86,Science_PCB,BSc Biotechnology,8.84,5,4,2,2,4,3,5,3,2,3,2,4,2,Analytical,Drawing,Medical Researcher
48,21,68,78,Science_PCM,BTech,9.94,2,3,3,4,3,4,2,5,2,5,3,5,5,Creative,Reading,Civil Engineer
49,22,55,75,Commerce,BCom,9.53,3,3,4,4,4,2,5,5,3,4,5,3,4,Analytical,Sports,Bank Manager
50,24,85,84,Commerce,BA,9.46,2,5,5,2,4,2,3,5,5,5,5,3,3,Analytical,Reading,Entrepreneur
51,25,53,59,Commerce,BA,9.79,4,4,5,5,3,3,4,4,4,5,3,2,5,Leadership,Sports,Entrepreneur
52,22,87,50,Science_PCM,BSc,8.55,2,2,3,4,5,4,2,5,5,2,4,5,3,Research,Coding,Research Scientist
53,17,91,67,Science_PCM,BSc,6.4,4,4,2,4,5,2,4,4,5,5,5,3,3,Creative,Social Work,Research Scientist
54,23,76,96,Science_PCM,BTech,9.21,2,2,5,3,3,4,4,2,5,4,4,2,5,Leadership,Sports,Defence Officer
55,22,67,62,Commerce,BBA,7.09,3,5,5,2,3,3,2,4,3,5,3,4,2,Research,Drawing,Entrepreneur
56,18,76,64,Science_PCM,BTech,6.59,5,5,4,3,4,5,4,3,2,4,2,4,5,Creative,Sports,Data Scientist
57,25,95,92,Commerce,BA,9.95,4,2,5,2,4,5,3,5,5,5,5,4,4,Research,Reading,Entrepreneur
58,18,77,96,Arts,BA,9.79,2,4,5,2,3,2,4,5,2,5,3,4,4,Research,Social Work,Entrepreneur
59,22,89,70,Arts,BA,9.77,5,3,5,4,2,5,4,5,2,5,2,5,4,Analytical,Social Work,Entrepreneur
60,20,87,54,Arts,BA,8.43,2,5,5,3,4,3,2,4,5,5,5,5,3,Helping,Drawing,Teacher
61,19,88,69,Science_PCM,BCA,7.35,5,3,4,3,5,5,2,2,4,2,4,2,5,Helping,Coding,Software Developer
62,21,66,75,Arts,LLB,9.73,4,5,5,4,3,4,3,2,2,5,5,5,2,Creative,Writing,Lawyer
63,24,73,85,Commerce,BCom,7.49,3,4,2,3,5,2,5,5,5,2,5,3,2,Creative,Reading,Accountant
64,18,63,52,Science_PCB,BHMS,7.6,4,5,5,2,2,2,5,4,5,2,5,4,4,Analytical,Reading,Doctor
65,17,65,54,Commerce,BBA,9.68,2,5,5,5,2,3,3,5,3,5,3,2,5,Helping,Public Speaking,Marketing Manager
66,25,96,71,Science_PCB,BSc Nursing,9.33,2,4,4,5,4,2,5,2,5,5,3,3,4,Helping,Music,Nurse
67,18,53,91,Science_PCM,BTech,7.44,5,3,5,2,4,5,3,4,5,3,2,3,3,Analytical,Music,AI Engineer
68,20,65,85,Arts,BA,6.64,5,5,2,3,4,2,3,2,4,5,5,3,2,Creative,Drawing,Teacher
69,24,74,53,Science_PCM,BA,8.3,5,3,4,2,2,5,4,4,5,5,4,5,5,Analytical,Public Speaking,Defence Officer
70,19,95,74,Commerce,BBA,7.25,4,3,4,5,4,5,2,5,4,3,3,5,3,Helping,Coding,Financial Analyst
71,25,91,86,Science_PCB,BSc Nursing,7.62,4,4,4,3,3,3,5,2,3,4,3,2,4,Creative,Social Work,Nurse
